0;1;2;3;sum
0.0;0.0;0.0;0.0;0.0
10.0;8.57;6.06;6.8;66.11
8.81;9.63;9.08;10.0;71.68
10.0;9.24;7.85;7.9;66.0
10.0;9.44;8.75;10.0;75.89
6.9;8.89;6.06;7.3;57.05
6.62;6.89;7.08;6.63;52.53
10.0;7.44;8.6;10.0;67.95
9.52;8.89;5.73;8.93;38.84
8.0;6.37;7.71;6.67;59.59
7.24;9.26;6.46;10.0;61.4
10.0;9.52;8.04;8.83;69.42
0.0;0.0;0.0;0.0;0.0
10.0;7.19;8.46;8.6;65.4
7.57;0.0;0.0;0.0;7.57
10.0;9.44;8.13;9.43;67.21
10.0;10.0;10.0;10.0;78.67
0.0;0.0;0.0;0.0;0.0
6.86;7.52;7.56;0.0;35.87
0.0;0.0;0.0;0.0;0.0
10.0;6.72;7.38;10.0;67.75
7.86;0.0;0.0;0.0;7.86
10.0;10.0;10.0;10.0;77.97
10.0;10.0;9.38;10.0;72.63
10.0;10.0;7.92;0.0;27.92
10.0;10.0;7.5;10.0;74.85
0.0;0.0;0.0;0.0;0.0
8.81;8.15;9.17;6.47;64.22
0.0;0.0;0.0;0.0;0.0
6.29;10.0;10.0;7.27;67.92
0.0;0.0;0.0;0.0;0.0
9.71;8.76;9.33;10.0;66.37
9.52;9.89;9.19;10.0;74.49
10.0;9.41;10.0;9.67;73.42
7.57;8.78;7.13;10.0;65.94
0.0;0.0;0.0;0.0;0.0
7.24;7.69;7.9;8.33;51.87
8.52;0.0;0.0;0.0;8.52
0.0;0.0;0.0;0.0;0.0
9.57;9.41;10.0;10.0;66.23
0.0;0.0;0.0;0.0;0.0
8.19;8.09;8.83;9.8;50.45
9.29;9.78;9.69;8.63;71.11
10.0;10.0;10.0;10.0;77.9
10.0;8.93;9.0;10.0;63.15
10.0;10.0;8.63;9.63;64.65
8.57;9.22;9.25;8.63;60.37
9.29;10.0;9.5;9.8;75.16
0.0;0.0;0.0;0.0;0.0
5.71;8.22;8.0;10.0;39.79
10.0;10.0;10.0;10.0;40.0
0.0;0.0;0.0;0.0;0.0
6.67;8.69;8.04;8.8;54.09
10.0;6.0;8.5;7.27;61.22
0.0;0.0;0.0;0.0;0.0
8.1;7.11;7.5;9.47;65.1
10.0;9.41;9.17;10.0;70.42
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
10.0;8.3;6.79;0.0;25.09
0.0;0.0;0.0;0.0;0.0
9.52;8.54;9.08;9.63;65.12
10.0;10.0;10.0;10.0;75.18
9.52;8.22;10.0;8.8;74.16
10.0;10.0;9.13;10.0;66.51
6.9;7.0;7.52;6.3;56.02
10.0;9.35;8.71;9.63;72.82
9.29;8.22;9.44;9.83;72.08
8.81;9.78;7.67;8.1;60.58
10.0;10.0;10.0;10.0;77.14
10.0;7.43;9.25;9.0;72.27
6.62;7.59;7.4;7.67;59.11
10.0;10.0;9.25;9.83;76.18
6.95;6.72;6.06;0.0;19.73
7.38;6.78;7.92;9.47;45.97
8.24;8.87;6.25;10.0;53.3
10.0;10.0;10.0;10.0;80.0
10.0;10.0;9.02;9.8;74.92
0.0;0.0;0.0;0.0;0.0
10.0;9.63;10.0;10.0;76.77
9.29;0.0;0.0;0.0;9.29
8.1;6.89;8.21;8.97;58.51
0.0;0.0;0.0;0.0;0.0
6.86;9.78;10.0;10.0;64.14
0.0;0.0;0.0;0.0;0.0
8.57;7.7;7.67;9.0;47.76
0.0;0.0;0.0;0.0;0.0
9.24;9.19;7.29;9.0;65.35
8.19;7.8;7.29;8.63;67.65
10.0;9.78;9.58;9.0;68.19
0.0;0.0;0.0;0.0;0.0
8.57;7.37;7.71;8.47;60.36
8.57;6.98;6.29;6.9;52.87
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
7.24;0.0;0.0;0.0;7.24
10.0;9.89;10.0;9.67;74.28
9.29;9.78;8.13;9.17;67.51
6.86;8.72;8.96;9.63;66.94
10.0;7.11;8.96;8.27;59.78
10.0;9.63;9.33;10.0;78.96
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
9.52;9.26;7.77;9.8;72.09
9.14;7.8;8.83;9.0;67.79
8.95;8.91;8.58;10.0;72.59
9.24;7.98;7.9;8.83;61.9
10.0;10.0;9.17;9.0;76.01
9.52;8.91;6.83;9.83;70.39
9.52;6.43;6.96;8.43;60.37
10.0;10.0;10.0;10.0;57.95
9.05;9.63;9.58;7.97;69.42
9.29;7.24;9.58;0.0;41.11
8.29;9.07;10.0;9.0;70.62
9.86;9.15;6.88;7.97;63.44
0.0;0.0;0.0;0.0;0.0
